Observer;SessionID;Block;Trial;OnsetDelay;Yellow;Switch;SwitchTime;Gap;Direction;Response;RT
AZM90w;2017-05-29-15-18-51;1;1;0,999861588967;False;neither;1,7;0,15;-1;neither;0,958999872208
AZM90w;2017-05-29-15-18-51;1;2;1,01904068154;True;right;1,9;0,0;1;right;1,1819999218
AZM90w;2017-05-29-15-18-51;1;3;0,81819316743;False;both;1,3;0,0;1;both;2,375
AZM90w;2017-05-29-15-18-51;1;4;0,965954340801;True;both;1,1;0,15;1;both;0,456000089645
AZM90w;2017-05-29-15-18-51;1;5;1,18764533066;False;left;1,9;0,0;1;both;0,542000055313
AZM90w;2017-05-29-15-18-51;1;6;0,857415296674;True;right;1,3;0,0;1;right;0,384999990463
AZM90w;2017-05-29-15-18-51;1;7;0,939360280161;False;left;1,5;0,15;1;left;0,484999895096
AZM90w;2017-05-29-15-18-51;1;8;1,09403409202;True;left;1,1;0,15;-1;left;0,380000114441
AZM90w;2017-05-29-15-18-51;1;9;1,09206722457;False;both;1,7;0,15;-1;both;0,52599978447
AZM90w;2017-05-29-15-18-51;1;10;0,981969356545;True;right;1,9;-0,15;1;neither;0,794000148773
AZM90w;2017-05-29-15-18-51;1;11;1,10536950535;False;neither;1,3;0,0;-1;neither;1,02099990845
AZM90w;2017-05-29-15-18-51;1;12;1,09923171603;True;right;1,9;0,15;1;neither;1,19099998474
AZM90w;2017-05-29-15-18-51;1;13;0,951004497814;False;neither;1,7;-0,15;1;neither;1,26099991798
AZM90w;2017-05-29-15-18-51;1;14;0,985886594212;True;neither;1,3;-0,15;1;neither;0,987999916077
AZM90w;2017-05-29-15-18-51;1;15;1,12844967096;False;right;1,1;0,0;-1;right;0,369999885559
AZM90w;2017-05-29-15-18-51;1;16;0,828812782297;True;left;1,5;0,0;1;left;0,421000003815
AZM90w;2017-05-29-15-18-51;1;17;1,14283951481;False;right;1,5;0,0;1;right;0,548000097275
AZM90w;2017-05-29-15-18-51;1;18;1,0262697065;True;left;1,7;-0,15;-1;neither;0,516000032425
AZM90w;2017-05-29-15-18-51;1;19;1,0070820708;False;right;1,1;0,0;1;right;0,348000049591
AZM90w;2017-05-29-15-18-51;1;20;1,09030924007;True;left;1,3;-0,15;1;left;0,572000026703
AZM90w;2017-05-29-15-18-51;1;21;0,988923707601;False;both;1,7;-0,15;1;both;0,444000005722
AZM90w;2017-05-29-15-18-51;1;22;0,826981777726;True;neither;1,9;-0,15;1;neither;0,748000144958
AZM90w;2017-05-29-15-18-51;1;23;0,874521968639;False;both;1,5;-0,15;-1;both;2,69099998474
AZM90w;2017-05-29-15-18-51;1;24;1,1192935008;True;left;1,7;-0,15;-1;both;0,611999988556
AZM90w;2017-05-29-15-18-51;1;25;0,862511319753;False;left;1,1;0,0;1;left;0,330999851227
AZM90w;2017-05-29-15-18-51;1;26;0,833655507067;True;right;1,7;-0,15;-1;both;0,378000020981
AZM90w;2017-05-29-15-18-51;1;27;0,874905281724;False;left;1,5;0,15;-1;left;0,413000106812
AZM90w;2017-05-29-15-18-51;1;28;1,01082992082;True;right;1,3;0,0;-1;right;2,29700016975
AZM90w;2017-05-29-15-18-51;1;29;0,804951374886;False;neither;1,9;0,0;-1;neither;1,44099998474
AZM90w;2017-05-29-15-18-51;1;30;0,83419048408;True;both;1,3;-0,15;-1;both;0,763000011444
AZM90w;2017-05-29-15-18-51;1;31;0,807028145838;False;left;1,7;0,15;-1;left;0,921999931335
AZM90w;2017-05-29-15-18-51;1;32;1,16218216669;True;neither;1,5;0,0;1;neither;1,5110001564
AZM90w;2017-05-29-15-18-51;1;33;0,808157434703;False;right;1,3;-0,15;-1;right;0,551000118256
AZM90w;2017-05-29-15-18-51;1;34;1,10097960936;True;neither;1,3;0,15;1;right;4,4240000248
AZM90w;2017-05-29-15-18-51;1;35;0,877244824417;False;neither;1,5;0,15;1;neither;1,32999992371
AZM90w;2017-05-29-15-18-51;1;36;1,04844121257;True;left;1,1;0,0;-1;left;1,29699993134
AZM90w;2017-05-29-15-18-51;1;37;1,1483995297;False;right;1,1;0,15;-1;right;0,930999994278
AZM90w;2017-05-29-15-18-51;1;38;1,04781553785;True;both;1,7;0,0;1;left;0,478999853134
AZM90w;2017-05-29-15-18-51;1;39;0,965861295095;False;left;1,5;-0,15;1;left;0,607999801636
AZM90w;2017-05-29-15-18-51;1;40;1,13775081026;True;right;1,5;0,15;-1;right;0,737999916077
AZM90w;2017-05-29-15-18-51;1;41;0,810742840535;False;right;1,9;-0,15;-1;right;1,41399979591
AZM90w;2017-05-29-15-18-51;1;42;1,11364899246;True;right;1,7;-0,15;1;neither;0,874000072479
AZM90w;2017-05-29-15-18-51;1;43;1,14596356875;False;right;1,9;0,15;-1;right;0,81500005722
AZM90w;2017-05-29-15-18-51;1;44;1,16250845981;True;both;1,1;-0,15;-1;both;0,0
AZM90w;2017-05-29-15-18-51;1;45;0,898626956588;False;both;1,1;0,0;1;both;0,451000213623
AZM90w;2017-05-29-15-18-51;2;1;1,07418394026;True;neither;1,7;0,15;1;neither;0,637000083923
AZM90w;2017-05-29-15-18-51;2;2;0,97594997322;False;right;1,9;0,0;-1;neither;0,833999872208
AZM90w;2017-05-29-15-18-51;2;3;1,18608630585;True;both;1,3;0,0;1;both;0,56299996376
AZM90w;2017-05-29-15-18-51;2;4;1,10785190648;False;both;1,1;0,15;-1;both;0,62299990654
AZM90w;2017-05-29-15-18-51;2;5;0,909062033636;True;left;1,9;0,0;1;left;0,632000207901
AZM90w;2017-05-29-15-18-51;2;6;0,818240657852;False;right;1,3;0,0;-1;neither;0,834000110626
AZM90w;2017-05-29-15-18-51;2;7;1,16210430415;True;left;1,5;0,15;1;left;0,522000074387
AZM90w;2017-05-29-15-18-51;2;8;1,15820425128;False;left;1,1;0,15;1;left;0,65499997139
AZM90w;2017-05-29-15-18-51;2;9;1,11601688052;True;both;1,7;0,15;-1;both;1,27999997139
AZM90w;2017-05-29-15-18-51;2;10;1,02600219485;False;right;1,9;-0,15;-1;neither;0,459000110626
AZM90w;2017-05-29-15-18-51;2;11;0,801958550788;True;neither;1,3;0,0;-1;neither;0,93799996376
AZM90w;2017-05-29-15-18-51;2;12;1,08791027155;False;right;1,9;0,15;-1;neither;1,23699998856
AZM90w;2017-05-29-15-18-51;2;13;1,12779825402;True;neither;1,7;-0,15;1;neither;0,966000080109
AZM90w;2017-05-29-15-18-51;2;14;1,08093306831;False;neither;1,3;-0,15;-1;neither;2,25699996948
AZM90w;2017-05-29-15-18-51;2;15;0,825969558925;True;right;1,1;0,0;-1;neither;1,34699988365
AZM90w;2017-05-29-15-18-51;2;16;0,950112800907;False;left;1,5;0,0;-1;neither;0,6890001297
AZM90w;2017-05-29-15-18-51;2;17;1,03954427865;True;right;1,5;0,0;-1;neither;0,550999879837
AZM90w;2017-05-29-15-18-51;2;18;0,893590104458;False;left;1,7;-0,15;-1;neither;0,80999994278
AZM90w;2017-05-29-15-18-51;2;19;0,964577787533;True;right;1,1;0,0;-1;right;0,648000001907
AZM90w;2017-05-29-15-18-51;2;20;0,972251238075;False;left;1,3;-0,15;-1;neither;1,67899990082
AZM90w;2017-05-29-15-18-51;2;21;1,19499278561;True;both;1,7;-0,15;1;neither;1,73900008202
AZM90w;2017-05-29-15-18-51;2;22;0,934393458817;False;neither;1,9;-0,15;1;neither;0,845999956131
AZM90w;2017-05-29-15-18-51;2;23;1,14549922708;True;both;1,5;-0,15;-1;both;0,436000108719
AZM90w;2017-05-29-15-18-51;2;24;1,14374817711;False;left;1,7;-0,15;1;both;0,47400021553
AZM90w;2017-05-29-15-18-51;2;25;0,923209931004;True;left;1,1;0,0;1;neither;0,446000099182
AZM90w;2017-05-29-15-18-51;2;26;0,943947711856;False;right;1,7;-0,15;1;neither;0,636000156403
AZM90w;2017-05-29-15-18-51;2;27;1,10098399104;True;left;1,5;0,15;-1;neither;1,09500002861
AZM90w;2017-05-29-15-18-51;2;28;0,828224947345;False;right;1,3;0,0;-1;neither;1,02099990845
AZM90w;2017-05-29-15-18-51;2;29;1,02544441107;True;neither;1,9;0,0;-1;neither;1,02700018883
AZM90w;2017-05-29-15-18-51;2;30;0,893028408174;False;both;1,3;-0,15;1;both;0,565999984741
AZM90w;2017-05-29-15-18-51;2;31;0,901225823661;True;left;1,7;0,15;1;left;0,560000181198
AZM90w;2017-05-29-15-18-51;2;32;1,12961539441;False;neither;1,5;0,0;-1;neither;1,93799996376
AZM90w;2017-05-29-15-18-51;2;33;1,18600943703;True;right;1,3;-0,15;-1;neither;0,426999807358
AZM90w;2017-05-29-15-18-51;2;34;0,901861617415;False;neither;1,3;0,15;1;neither;0,681999921799
AZM90w;2017-05-29-15-18-51;2;35;1,17505240918;True;neither;1,5;0,15;-1;neither;0,96799993515
AZM90w;2017-05-29-15-18-51;2;36;0,860648364912;False;left;1,1;0,0;1;neither;1,01200008392
AZM90w;2017-05-29-15-18-51;2;37;1,13415279783;True;right;1,1;0,15;1;right;0,526000022888
AZM90w;2017-05-29-15-18-51;2;38;1,14657943584;False;both;1,7;0,0;-1;both;0,357999801636
AZM90w;2017-05-29-15-18-51;2;39;0,948041374113;True;left;1,5;-0,15;-1;neither;0,590000152588
AZM90w;2017-05-29-15-18-51;2;40;1,10762231768;False;right;1,5;0,15;1;right;0,488000154495
AZM90w;2017-05-29-15-18-51;2;41;0,921618961551;True;right;1,9;-0,15;1;right;7,64400005341
AZM90w;2017-05-29-15-18-51;2;42;0,840165872734;False;right;1,7;-0,15;1;neither;0,388999938965
AZM90w;2017-05-29-15-18-51;2;43;0,978367308897;True;right;1,9;0,15;-1;neither;0,916999816895
AZM90w;2017-05-29-15-18-51;2;44;0,933258229627;False;both;1,1;-0,15;-1;both;0,390000104904
AZM90w;2017-05-29-15-18-51;2;45;0,847320900648;True;both;1,1;0,0;1;neither;0,586999893188
AZM90w;2017-05-29-15-18-51;3;1;0,98933251678;False;right;1,5;0,15;1;neither;0,384999990463
AZM90w;2017-05-29-15-18-51;3;2;1,06885257376;True;both;1,1;0,15;-1;right;4,38399982452
AZM90w;2017-05-29-15-18-51;3;3;1,11076422892;False;neither;1,7;0,15;-1;neither;1,01900005341
AZM90w;2017-05-29-15-18-51;3;4;1,04988732737;True;neither;1,9;-0,15;-1;neither;0,568000078201
AZM90w;2017-05-29-15-18-51;3;5;1,10795688864;False;both;1,1;-0,15;1;both;0,31299996376
AZM90w;2017-05-29-15-18-51;3;6;0,818107418461;True;left;1,5;-0,15;-1;neither;0,348999977112
AZM90w;2017-05-29-15-18-51;3;7;1,10380352742;False;left;1,3;0,15;-1;left;0,324000120163
AZM90w;2017-05-29-15-18-51;3;8;1,01154417923;True;right;1,1;0,0;-1;right;0,337000131607
AZM90w;2017-05-29-15-18-51;3;9;1,1714376021;False;right;1,1;-0,15;-1;right;0,649999856949
AZM90w;2017-05-29-15-18-51;3;10;0,868779019841;True;neither;1,5;-0,15;-1;neither;0,785000085831
AZM90w;2017-05-29-15-18-51;3;11;1,05619709336;False;left;1,3;-0,15;-1;left;0,4359998703
AZM90w;2017-05-29-15-18-51;3;12;1,18899195423;True;both;1,7;0,0;-1;neither;0,424999952316
AZM90w;2017-05-29-15-18-51;3;13;1,1993078957;False;right;1,3;-0,15;1;right;0,462999820709
AZM90w;2017-05-29-15-18-51;3;14;1,01807162147;True;right;1,3;0,15;-1;right;0,387000083923
AZM90w;2017-05-29-15-18-51;3;15;0,851931045711;False;both;1,7;-0,15;1;both;0,56200003624
AZM90w;2017-05-29-15-18-51;3;16;0,94842391176;True;left;1,3;0,0;-1;left;0,548000097275
AZM90w;2017-05-29-15-18-51;3;17;1,17345631458;False;right;1,5;0,0;-1;right;0,43700003624
AZM90w;2017-05-29-15-18-51;3;18;1,15702388484;True;right;1,5;0,15;1;neither;0,384000062943
AZM90w;2017-05-29-15-18-51;3;19;1,16557779246;False;right;1,9;0,0;-1;neither;0,546000003815
AZM90w;2017-05-29-15-18-51;3;20;1,16275134963;True;left;1,9;0,15;1;left;0,427999973297
