Observer;SessionID;Block;Trial;OnsetDelay;Yellow;Switch;SwitchTime;Gap;Direction;Response;RT
BBW97w;2017-06-01-12-13-16;1;1;1,12858119518;False;left;1,7;0,0;-1;left;0,814999818802
BBW97w;2017-06-01-12-13-16;1;2;1,06337920653;True;left;1,7;0,0;-1;neither;1,35100007057
BBW97w;2017-06-01-12-13-16;1;3;1,08921661784;False;right;1,9;0,0;-1;right;0,861000061035
BBW97w;2017-06-01-12-13-16;1;4;0,857192102742;True;neither;1,7;-0,15;1;neither;1,01599979401
BBW97w;2017-06-01-12-13-16;1;5;0,933560408024;False;right;1,7;-0,15;-1;neither;1,04100012779
BBW97w;2017-06-01-12-13-16;1;6;1,17906952749;True;neither;1,1;-0,15;1;neither;1,0110001564
BBW97w;2017-06-01-12-13-16;1;7;1,02865242504;False;right;1,9;-0,15;1;neither;0,996999979019
BBW97w;2017-06-01-12-13-16;1;8;1,11919426273;True;right;1,9;-0,15;-1;neither;1,59700012207
BBW97w;2017-06-01-12-13-16;1;9;1,09148912254;False;both;1,9;-0,15;-1;right;0,618999958038
BBW97w;2017-06-01-12-13-16;1;10;1,16033738007;True;neither;1,7;0,15;1;neither;1,98799991608
BBW97w;2017-06-01-12-13-16;1;11;0,94418104287;False;right;1,1;-0,15;1;right;0,569999933243
BBW97w;2017-06-01-12-13-16;1;12;1,16687505631;True;right;1,5;0,15;-1;right;0,375999927521
BBW97w;2017-06-01-12-13-16;1;13;0,968349216421;False;right;1,7;0,15;-1;both;0,380000114441
BBW97w;2017-06-01-12-13-16;1;14;1,15288818645;True;both;1,9;0,15;-1;left;0,0310001373291
BBW97w;2017-06-01-12-13-16;1;15;1,11397069974;False;right;1,5;0,0;1;neither;1,14400005341
BBW97w;2017-06-01-12-13-16;1;16;0,963872744322;True;left;1,5;0,15;1;both;1,79299998283
BBW97w;2017-06-01-12-13-16;1;17;1,07962047972;False;both;1,1;-0,15;-1;both;1,79299998283
BBW97w;2017-06-01-12-13-16;1;18;0,92594630215;True;both;1,5;0,15;-1;neither;1,36900019646
BBW97w;2017-06-01-12-13-16;1;19;0,907285447857;False;right;1,7;-0,15;-1;neither;1,57999992371
BBW97w;2017-06-01-12-13-16;1;20;0,886598905767;True;neither;1,3;-0,15;1;neither;1,32399988174
BBW97w;2017-06-01-12-13-16;1;21;0,93033837432;False;right;1,5;-0,15;1;neither;1,22799992561
BBW97w;2017-06-01-12-13-16;1;22;0,975250663312;True;left;1,1;0,15;1;neither;1,21200013161
BBW97w;2017-06-01-12-13-16;1;23;0,880173043964;False;both;1,3;-0,15;1;both;1,21899986267
BBW97w;2017-06-01-12-13-16;1;24;1,09655291209;True;right;1,3;-0,15;1;neither;1,46000003815
BBW97w;2017-06-01-12-13-16;1;25;1,02535972678;False;neither;1,9;0,0;1;neither;0,755999803543
BBW97w;2017-06-01-12-13-16;1;26;1,08598382685;True;left;1,7;-0,15;1;neither;2,30100011826
BBW97w;2017-06-01-12-13-16;1;27;0,807231044776;False;left;1,3;0,0;-1;neither;0,890999794006
BBW97w;2017-06-01-12-13-16;1;28;1,00374832118;True;right;1,7;0,0;-1;neither;0,698999881744
BBW97w;2017-06-01-12-13-16;1;29;0,980197253352;False;left;1,7;0,15;-1;neither;0,52899980545
BBW97w;2017-06-01-12-13-16;1;30;1,01982979486;True;neither;1,5;0,15;1;neither;1,06900000572
BBW97w;2017-06-01-12-13-16;1;31;1,02135756747;False;right;1,3;0,15;1;neither;1,03400015831
BBW97w;2017-06-01-12-13-16;1;32;0,986932024935;True;neither;1,5;0,0;-1;neither;0,936000108719
BBW97w;2017-06-01-12-13-16;1;33;0,800947423758;False;both;1,9;0,0;1;neither;0,641000032425
BBW97w;2017-06-01-12-13-16;1;34;0,897160588326;True;both;1,7;0,15;1;neither;0,836000204086
BBW97w;2017-06-01-12-13-16;1;35;0,842052750377;False;both;1,7;0,0;-1;neither;0,859999895096
BBW97w;2017-06-01-12-13-16;1;36;0,932598250552;True;neither;1,5;-0,15;-1;neither;0,677000045776
BBW97w;2017-06-01-12-13-16;1;37;1,03426813107;False;right;1,1;0,0;1;neither;0,90499997139
BBW97w;2017-06-01-12-13-16;1;38;0,871105179894;True;right;1,9;0,0;-1;left;1,42900013924
BBW97w;2017-06-01-12-13-16;1;39;0,815491728975;False;right;1,3;0,0;1;neither;1,08000016212
BBW97w;2017-06-01-12-13-16;1;40;1,04215723772;True;right;1,1;0,0;1;neither;1,08899998665
BBW97w;2017-06-01-12-13-16;1;41;1,1210108007;False;left;1,9;-0,15;-1;neither;1,41899991035
BBW97w;2017-06-01-12-13-16;1;42;1,03082596213;True;left;1,9;0,15;-1;neither;0,766999959946
BBW97w;2017-06-01-12-13-16;1;43;0,970765219958;False;neither;1,1;0,15;-1;neither;1,23200011253
BBW97w;2017-06-01-12-13-16;1;44;1,13354948539;True;neither;1,3;0,0;1;neither;0,907999992371
BBW97w;2017-06-01-12-13-16;1;45;1,03358454871;False;left;1,9;0,15;-1;neither;0,674000024796
BBW97w;2017-06-01-12-13-16;2;1;1,10346646103;True;left;1,7;0,0;1;left;0,40499997139
BBW97w;2017-06-01-12-13-16;2;2;0,955571801008;False;left;1,7;0,0;-1;left;0,0
BBW97w;2017-06-01-12-13-16;2;3;0,987074599401;True;right;1,9;0,0;-1;right;0,638000011444
BBW97w;2017-06-01-12-13-16;2;4;0,83519508133;False;neither;1,7;-0,15;-1;neither;0,732999801636
BBW97w;2017-06-01-12-13-16;2;5;1,11956955036;True;right;1,7;-0,15;1;both;0,588999986649
BBW97w;2017-06-01-12-13-16;2;6;0,896113467309;False;neither;1,1;-0,15;-1;neither;1,24300003052
BBW97w;2017-06-01-12-13-16;2;7;1,03757075962;True;right;1,9;-0,15;-1;neither;0,839999914169
BBW97w;2017-06-01-12-13-16;2;8;0,968607628452;False;right;1,9;-0,15;1;neither;0,579999923706
BBW97w;2017-06-01-12-13-16;2;9;0,995331311153;True;both;1,9;-0,15;-1;neither;0,279000043869
BBW97w;2017-06-01-12-13-16;2;10;1,19652822411;False;neither;1,7;0,15;1;neither;0,729000091553
BBW97w;2017-06-01-12-13-16;2;11;0,881862271806;True;right;1,1;-0,15;1;both;1,77099990845
BBW97w;2017-06-01-12-13-16;2;12;0,921914471036;False;right;1,5;0,15;-1;neither;0,75
BBW97w;2017-06-01-12-13-16;2;13;0,938336167241;True;right;1,7;0,15;1;left;1,33899998665
BBW97w;2017-06-01-12-13-16;2;14;1,12255144025;False;both;1,9;0,15;1;neither;0,757999897003
BBW97w;2017-06-01-12-13-16;2;15;0,980673750349;True;right;1,5;0,0;-1;neither;1,07099986076
BBW97w;2017-06-01-12-13-16;2;16;0,836647114526;False;left;1,5;0,15;1;neither;0,536999940872
BBW97w;2017-06-01-12-13-16;2;17;1,06809317298;True;both;1,1;-0,15;-1;neither;0,384999990463
BBW97w;2017-06-01-12-13-16;2;18;1,0256006459;False;both;1,5;0,15;1;neither;0,93700003624
BBW97w;2017-06-01-12-13-16;2;19;0,804147858373;True;right;1,7;-0,15;1;neither;0,913000106812
BBW97w;2017-06-01-12-13-16;2;20;0,860103783817;False;neither;1,3;-0,15;-1;neither;0,632000207901
BBW97w;2017-06-01-12-13-16;2;21;0,825762944993;True;right;1,5;-0,15;-1;neither;1,19000005722
BBW97w;2017-06-01-12-13-16;2;22;1,12543483644;False;left;1,1;0,15;1;neither;0,692999839783
BBW97w;2017-06-01-12-13-16;2;23;1,12804768087;True;both;1,3;-0,15;1;neither;0,876999855042
BBW97w;2017-06-01-12-13-16;2;24;0,806152686242;False;right;1,3;-0,15;-1;neither;1,06500005722
BBW97w;2017-06-01-12-13-16;2;25;0,800454337792;True;neither;1,9;0,0;-1;neither;0,710999965668
BBW97w;2017-06-01-12-13-16;2;26;1,01539352044;False;left;1,7;-0,15;1;left;0,132999897003
BBW97w;2017-06-01-12-13-16;2;27;1,04808185145;True;left;1,3;0,0;1;neither;1,35800004005
BBW97w;2017-06-01-12-13-16;2;28;1,09040337028;False;right;1,7;0,0;-1;neither;1,30999994278
BBW97w;2017-06-01-12-13-16;2;29;1,14156837128;True;left;1,7;0,15;1;neither;1,32399988174
BBW97w;2017-06-01-12-13-16;2;30;1,1788558641;False;neither;1,5;0,15;1;neither;0,588000059128
BBW97w;2017-06-01-12-13-16;2;31;1,05868530449;True;right;1,3;0,15;1;right;1,56500005722
BBW97w;2017-06-01-12-13-16;2;32;1,03522437669;False;neither;1,5;0,0;1;neither;0,709999799728
BBW97w;2017-06-01-12-13-16;2;33;0,874767796629;True;both;1,9;0,0;-1;neither;0,432999849319
BBW97w;2017-06-01-12-13-16;2;34;0,869272071796;False;both;1,7;0,15;-1;neither;1,26699995995
BBW97w;2017-06-01-12-13-16;2;35;1,12655814034;True;both;1,7;0,0;-1;neither;0,626999855042
BBW97w;2017-06-01-12-13-16;2;36;0,893014429075;False;neither;1,5;-0,15;-1;neither;0,712000131607
BBW97w;2017-06-01-12-13-16;2;37;0,986357408165;True;right;1,1;0,0;-1;neither;0,72000002861
BBW97w;2017-06-01-12-13-16;2;38;1,07835650053;False;right;1,9;0,0;1;right;0,480000019073
BBW97w;2017-06-01-12-13-16;2;39;0,990464173462;True;right;1,3;0,0;-1;neither;0,374000072479
BBW97w;2017-06-01-12-13-16;2;40;0,921415781425;False;right;1,1;0,0;-1;neither;0,509000062943
BBW97w;2017-06-01-12-13-16;2;41;0,901798696464;True;left;1,9;-0,15;-1;neither;0,881999969482
BBW97w;2017-06-01-12-13-16;2;42;1,161493362;False;left;1,9;0,15;1;neither;1,09899997711
BBW97w;2017-06-01-12-13-16;2;43;0,87390723078;True;neither;1,1;0,15;-1;neither;1,27900004387
BBW97w;2017-06-01-12-13-16;2;44;0,904351167876;False;neither;1,3;0,0;1;neither;0,738999843597
BBW97w;2017-06-01-12-13-16;2;45;0,876162364134;True;left;1,9;0,15;1;neither;0,417000055313
BBW97w;2017-06-01-12-13-16;3;1;1,08843988477;False;left;1,3;0,0;-1;neither;0,602999925613
BBW97w;2017-06-01-12-13-16;3;2;1,01285818596;True;right;1,1;0,15;-1;neither;0,405999898911
BBW97w;2017-06-01-12-13-16;3;3;1,16871986837;False;left;1,7;-0,15;-1;neither;0,395999908447
BBW97w;2017-06-01-12-13-16;3;4;1,05552611147;True;left;1,9;0,0;-1;neither;0,370000123978
BBW97w;2017-06-01-12-13-16;3;5;0,919346076465;False;left;1,9;0,0;-1;neither;0,523000001907
BBW97w;2017-06-01-12-13-16;3;6;1,04451541638;True;left;1,7;-0,15;1;left;1,15300011635
BBW97w;2017-06-01-12-13-16;3;7;1,12499932343;False;neither;1,3;0,0;1;neither;0,569999933243
BBW97w;2017-06-01-12-13-16;3;8;0,840035576991;True;neither;1,1;0,15;1;neither;0,574000120163
BBW97w;2017-06-01-12-13-16;3;9;1,04921425495;False;left;1,1;0,15;1;neither;0,664999961853
BBW97w;2017-06-01-12-13-16;3;10;0,874916491874;True;both;1,1;0,0;-1;both;0,909999847412
BBW97w;2017-06-01-12-13-16;3;11;1,07478394666;False;right;1,5;0,15;-1;neither;0,662999868393
BBW97w;2017-06-01-12-13-16;3;12;0,968526308908;True;left;1,5;-0,15;1;neither;0,466000080109
BBW97w;2017-06-01-12-13-16;3;13;0,86882737363;False;both;1,7;0,15;-1;neither;0,523000001907
BBW97w;2017-06-01-12-13-16;3;14;1,15661842433;True;both;1,7;-0,15;1;neither;0,457000017166
BBW97w;2017-06-01-12-13-16;3;15;0,958664310535;False;both;1,1;-0,15;1;neither;0,430999994278
BBW97w;2017-06-01-12-13-16;3;16;0,920599487853;True;right;1,3;0,0;1;right;0,87700009346
BBW97w;2017-06-01-12-13-16;3;17;1,02306927338;False;right;1,3;0,0;1;right;0,447999954224
BBW97w;2017-06-01-12-13-16;3;18;0,867634692788;True;neither;1,9;0,15;1;neither;0,582999944687
BBW97w;2017-06-01-12-13-16;3;19;0,879772441856;False;both;1,1;0,15;1;neither;0,431999921799
BBW97w;2017-06-01-12-13-16;3;20;0,978288989782;True;right;1,1;0,0;1;right;0,447999954224
BBW97w;2017-06-01-12-13-16;3;21;0,84569349346;False;both;1,3;-0,15;1;neither;0,684000015259
BBW97w;2017-06-01-12-13-16;3;22;0,822242221026;True;right;1,5;-0,15;1;neither;0,688999891281
BBW97w;2017-06-01-12-13-16;3;23;1,05260684921;False;left;1,9;-0,15;-1;neither;0,668999910355
BBW97w;2017-06-01-12-13-16;3;24;0,951189953449;True;right;1,5;0,0;1;neither;0,588000059128
BBW97w;2017-06-01-12-13-16;3;25;1,14916801459;False;right;1,3;0,15;-1;neither;0,572999954224
BBW97w;2017-06-01-12-13-16;3;26;1,06839038217;True;right;1,7;0,0;1;neither;0,544999837875
BBW97w;2017-06-01-12-13-16;3;27;0,906031309085;False;left;1,5;0,15;-1;neither;0,453999996185
BBW97w;2017-06-01-12-13-16;3;28;0,974863208866;True;both;1,5;0,0;-1;right;0,526999950409
BBW97w;2017-06-01-12-13-16;3;29;1,14617122437;False;right;1,9;0,15;1;neither;0,641000032425
BBW97w;2017-06-01-12-13-16;3;30;0,976141111314;True;right;1,7;0,0;1;neither;0,478999853134
BBW97w;2017-06-01-12-13-16;3;31;1,00204070063;False;neither;1,7;0,0;1;neither;0,677000045776
