Observer;SessionID;Block;Trial;OnsetDelay;Yellow;Switch;SwitchTime;Gap;Direction;Response;RT
MCB93w;2017-06-01-13-34-30;1;1;0,946602871038;True;right;1,1;0,0;-1;neither;3,92899990082
MCB93w;2017-06-01-13-34-30;1;2;1,08628952385;False;right;1,3;0,15;-1;right;6,56599998474
MCB93w;2017-06-01-13-34-30;1;3;1,17729935428;True;both;1,3;0,0;-1;both;1,53400015831
MCB93w;2017-06-01-13-34-30;1;4;1,09591753208;False;right;1,9;0,0;-1;right;2,33400011063
MCB93w;2017-06-01-13-34-30;1;5;1,07936453021;True;neither;1,7;-0,15;-1;neither;2,41600012779
MCB93w;2017-06-01-13-34-30;1;6;1,01395651394;False;both;1,7;0,0;1;neither;0,84500002861
MCB93w;2017-06-01-13-34-30;1;7;1,12779243218;True;left;1,5;0,0;-1;left;0,741999864578
MCB93w;2017-06-01-13-34-30;1;8;1,12617436898;False;right;1,3;0,0;-1;right;0,633000135422
MCB93w;2017-06-01-13-34-30;1;9;1,01674164646;True;right;1,3;0,15;1;right;0,954000234604
MCB93w;2017-06-01-13-34-30;1;10;1,06938349452;False;both;1,1;-0,15;-1;both;1,96399998665
MCB93w;2017-06-01-13-34-30;1;11;1,14988818919;True;left;1,5;0,15;-1;left;0,728000164032
MCB93w;2017-06-01-13-34-30;1;12;1,15138031826;False;right;1,9;-0,15;1;right;0,78200006485
MCB93w;2017-06-01-13-34-30;1;13;0,836801793069;True;both;1,5;0,0;1;both;1,79200005531
MCB93w;2017-06-01-13-34-30;1;14;1,112761448;False;right;1,7;0,15;1;right;0,871999979019
MCB93w;2017-06-01-13-34-30;1;15;0,962311659917;True;both;1,5;0,15;1;right;0,804999828339
MCB93w;2017-06-01-13-34-30;1;16;1,05994198675;False;left;1,7;0,0;1;left;0,828000068665
MCB93w;2017-06-01-13-34-30;1;17;0,865830308927;True;both;1,9;-0,15;-1;both;0,629999876022
MCB93w;2017-06-01-13-34-30;1;18;1,06086138342;False;both;1,1;0,15;1;both;0,52799987793
MCB93w;2017-06-01-13-34-30;1;19;0,809277187792;True;right;1,5;0,0;1;both;0,623999834061
MCB93w;2017-06-01-13-34-30;1;20;1,03548377276;False;neither;1,7;0,15;1;neither;1,1930000782
MCB93w;2017-06-01-13-34-30;1;21;0,88241529386;True;right;1,5;0,0;1;right;0,49799990654
MCB93w;2017-06-01-13-34-30;1;22;0,809664792933;False;left;1,3;0,0;1;left;0,559000015259
MCB93w;2017-06-01-13-34-30;1;23;0,852761516626;True;neither;1,3;0,0;-1;neither;1,32899999619
MCB93w;2017-06-01-13-34-30;1;24;1,02113226619;False;left;1,7;0,15;1;left;0,59299993515
MCB93w;2017-06-01-13-34-30;1;25;1,02937175626;True;right;1,9;0,15;1;both;0,855000019073
MCB93w;2017-06-01-13-34-30;1;26;0,811398576419;False;right;1,9;0,0;1;right;0,75
MCB93w;2017-06-01-13-34-30;1;27;0,942018235024;True;neither;1,9;0,15;-1;neither;1,16100001335
MCB93w;2017-06-01-13-34-30;1;28;1,12084456097;False;right;1,9;0,15;1;neither;1,03099989891
