Observer;SessionID;Block;Trial;OnsetDelay;Yellow;Switch;SwitchTime;Gap;Direction;Response;RT
SBS92w;2017-06-02-09-17-56;1;1;0,814784877318;False;left;1,7;-0,15;1;both;0,482000112534
SBS92w;2017-06-02-09-17-56;1;2;0,907948289109;True;right;1,9;0,15;1;neither;1,2619998455
SBS92w;2017-06-02-09-17-56;1;3;0,810881428197;False;left;1,7;0,15;1;left;0,424000024796
SBS92w;2017-06-02-09-17-56;1;4;1,17755834447;True;left;1,5;-0,15;-1;left;0,653000116348
SBS92w;2017-06-02-09-17-56;1;5;1,10546346122;False;right;1,1;-0,15;1;right;0,586000204086
SBS92w;2017-06-02-09-17-56;1;6;0,935870799603;True;left;1,7;-0,15;1;neither;0,77999997139
SBS92w;2017-06-02-09-17-56;1;7;0,814327592692;False;neither;1,5;-0,15;1;neither;0,536999940872
SBS92w;2017-06-02-09-17-56;1;8;1,16057219341;True;right;1,7;0,15;1;neither;0,636000156403
SBS92w;2017-06-02-09-17-56;1;9;1,04625359711;False;both;1,1;0,15;-1;right;1,19199991226
SBS92w;2017-06-02-09-17-56;1;10;1,1080559414;True;left;1,9;0,0;-1;left;1,12300014496
SBS92w;2017-06-02-09-17-56;1;11;1,07341932239;False;both;1,1;0,0;1;neither;1,12199997902
SBS92w;2017-06-02-09-17-56;1;12;0,919195922578;True;right;1,7;0,15;1;neither;0,891999959946
SBS92w;2017-06-02-09-17-56;1;13;1,07182264528;False;both;1,3;0,0;1;both;1,00699996948
SBS92w;2017-06-02-09-17-56;1;14;0,982563358102;True;left;1,3;0,0;-1;neither;1,29399991035
SBS92w;2017-06-02-09-17-56;1;15;1,00414734119;False;left;1,1;0,0;1;left;0,860000133514
SBS92w;2017-06-02-09-17-56;1;16;0,945010118063;True;both;1,3;0,15;1;neither;0,932999849319
SBS92w;2017-06-02-09-17-56;1;17;1,07725228783;False;both;1,5;0,0;1;neither;0,789000034332
SBS92w;2017-06-02-09-17-56;1;18;0,930826160107;True;right;1,5;0,0;1;neither;0,740000009537
SBS92w;2017-06-02-09-17-56;1;19;1,10845840854;False;right;1,7;0,0;-1;both;0,858999967575
SBS92w;2017-06-02-09-17-56;1;20;0,904649809309;True;left;1,3;-0,15;1;left;1,08999991417
SBS92w;2017-06-02-09-17-56;1;21;0,849572983483;False;left;1,9;-0,15;1;left;1,22099995613
SBS92w;2017-06-02-09-17-56;1;22;1,06898027923;True;right;1,9;0,15;-1;right;1,45200014114
SBS92w;2017-06-02-09-17-56;1;23;0,918084619423;False;neither;1,7;0,0;-1;left;0,763999938965
SBS92w;2017-06-02-09-17-56;1;24;0,835556505722;True;left;1,3;0,15;1;both;1,09700012207
SBS92w;2017-06-02-09-17-56;1;25;1,13103841142;False;neither;1,7;-0,15;1;neither;0,911000013351
SBS92w;2017-06-02-09-17-56;1;26;0,956439759623;True;both;1,3;-0,15;1;left;0,43700003624
SBS92w;2017-06-02-09-17-56;1;27;1,15494551311;False;left;1,7;0,0;1;left;0,401000022888
SBS92w;2017-06-02-09-17-56;1;28;0,907927748123;True;right;1,5;-0,15;1;neither;0,56500005722
SBS92w;2017-06-02-09-17-56;1;29;1,18889648165;False;both;1,9;0,0;-1;both;0,964999914169
SBS92w;2017-06-02-09-17-56;1;30;0,89934049007;True;neither;1,1;-0,15;-1;neither;0,889000177383
SBS92w;2017-06-02-09-17-56;1;31;1,02726542994;False;right;1,9;0,0;-1;left;1,31999993324
SBS92w;2017-06-02-09-17-56;1;32;0,952837354544;True;left;1,9;0,0;-1;neither;2,05999994278
SBS92w;2017-06-02-09-17-56;1;33;1,02129127256;False;neither;1,5;0,0;-1;neither;0,712999820709
SBS92w;2017-06-02-09-17-56;1;34;1,11984145936;True;left;1,5;0,15;1;neither;0,924000024796
SBS92w;2017-06-02-09-17-56;1;35;0,905229729273;False;right;1,1;0,0;-1;neither;0,751999855042
SBS92w;2017-06-02-09-17-56;1;36;1,03716615006;True;right;1,1;0,15;1;neither;0,656999826431
SBS92w;2017-06-02-09-17-56;1;37;0,8647979523;False;neither;1,5;0,15;1;neither;0,68700003624
SBS92w;2017-06-02-09-17-56;1;38;0,945672506006;True;both;1,1;-0,15;-1;neither;0,524999856949
SBS92w;2017-06-02-09-17-56;1;39;0,87573461022;False;right;1,9;-0,15;-1;neither;0,623000144958
SBS92w;2017-06-02-09-17-56;1;40;0,891013953771;True;left;1,1;0,15;1;left;0,447000026703
SBS92w;2017-06-02-09-17-56;1;41;1,03270395064;False;left;1,5;0,0;-1;left;0,68700003624
SBS92w;2017-06-02-09-17-56;1;42;0,944731666073;True;left;1,9;-0,15;1;left;0,539999961853
SBS92w;2017-06-02-09-17-56;1;43;1,14831852512;False;left;1,1;-0,15;-1;both;0,861999988556
SBS92w;2017-06-02-09-17-56;1;44;1,11343782155;True;left;1,5;0,15;1;neither;1,20199990273
SBS92w;2017-06-02-09-17-56;1;45;1,02820897869;False;neither;1,3;0,0;-1;neither;0,664000034332
SBS92w;2017-06-02-09-17-56;2;1;0,84971271546;True;left;1,7;-0,15;1;both;0,637000083923
SBS92w;2017-06-02-09-17-56;2;2;1,09157169574;False;right;1,9;0,15;-1;neither;0,551999807358
SBS92w;2017-06-02-09-17-56;2;3;1,14131351739;True;left;1,7;0,15;-1;left;0,65299987793
SBS92w;2017-06-02-09-17-56;2;4;1,16393631733;False;left;1,5;-0,15;-1;both;0,626999855042
SBS92w;2017-06-02-09-17-56;2;5;0,854318690541;True;right;1,1;-0,15;1;neither;0,723999977112
SBS92w;2017-06-02-09-17-56;2;6;1,02776957238;False;left;1,7;-0,15;-1;both;0,394999980927
SBS92w;2017-06-02-09-17-56;2;7;1,18221352802;True;neither;1,5;-0,15;-1;neither;0,974999904633
SBS92w;2017-06-02-09-17-56;2;8;1,11445320234;False;right;1,7;0,15;-1;both;1,75699996948
SBS92w;2017-06-02-09-17-56;2;9;0,899803746281;True;both;1,1;0,15;1;neither;2,31299996376
SBS92w;2017-06-02-09-17-56;2;10;1,10941600553;False;left;1,9;0,0;-1;left;0,75200009346
SBS92w;2017-06-02-09-17-56;2;11;0,991653570118;True;both;1,1;0,0;1;both;0,569999933243
SBS92w;2017-06-02-09-17-56;2;12;1,12067467116;False;right;1,7;0,15;1;right;0,624000072479
SBS92w;2017-06-02-09-17-56;2;13;0,99973724764;True;both;1,3;0,0;-1;right;0,578000068665
SBS92w;2017-06-02-09-17-56;2;14;0,921140799958;False;left;1,3;0,0;-1;both;0,493000030518
SBS92w;2017-06-02-09-17-56;2;15;1,02732037151;True;left;1,1;0,0;-1;both;1,88000011444
SBS92w;2017-06-02-09-17-56;2;16;0,968567395902;False;both;1,3;0,15;-1;neither;0,49599981308
SBS92w;2017-06-02-09-17-56;2;17;1,13558478382;True;both;1,5;0,0;-1;left;0,521000146866
SBS92w;2017-06-02-09-17-56;2;18;1,07771344033;False;right;1,5;0,0;1;right;0,701999902725
SBS92w;2017-06-02-09-17-56;2;19;0,940506668267;True;right;1,7;0,0;-1;both;0,790999889374
SBS92w;2017-06-02-09-17-56;2;20;0,977417696799;False;left;1,3;-0,15;1;neither;1,22799992561
