Observer;SessionID;Block;Trial;OnsetDelay;Yellow;Switch;SwitchTime;Gap;Direction;Response;RT
SGP95w;2017-05-30-09-01-25;1;1;0,870061179436;False;left;1,1;0,0;1;left;1,1859998703
SGP95w;2017-05-30-09-01-25;1;2;1,0863213091;True;left;1,3;0,15;1;both;0,894999980927
SGP95w;2017-05-30-09-01-25;1;3;0,826459059961;False;both;1,7;-0,15;1;both;2,21099996567
SGP95w;2017-05-30-09-01-25;1;4;1,04902927747;True;both;1,1;0,0;-1;both;0,711999893188
SGP95w;2017-05-30-09-01-25;1;5;1,02150756665;False;both;1,9;-0,15;1;both;1,05700016022
SGP95w;2017-05-30-09-01-25;1;6;0,820468855695;True;right;1,5;-0,15;1;right;0,50200009346
SGP95w;2017-05-30-09-01-25;1;7;1,08581976139;False;neither;1,7;-0,15;-1;left;1,5
SGP95w;2017-05-30-09-01-25;1;8;0,95969956745;True;both;1,7;0,0;-1;right;2,60900020599
SGP95w;2017-05-30-09-01-25;1;9;0,983206653152;False;both;1,9;0,15;-1;both;1,64800000191
SGP95w;2017-05-30-09-01-25;1;10;0,941049666321;True;neither;1,7;0,0;-1;right;1,31500005722
SGP95w;2017-05-30-09-01-25;1;11;0,957131033606;False;left;1,5;-0,15;-1;left;0,589999914169
SGP95w;2017-05-30-09-01-25;1;12;0,963872946108;True;right;1,1;-0,15;-1;right;0,473000049591
SGP95w;2017-05-30-09-01-25;1;13;0,849102605419;False;right;1,1;0,15;-1;right;0,56299996376
SGP95w;2017-05-30-09-01-25;1;14;0,814090442128;True;right;1,7;-0,15;-1;neither;1,04399991035
SGP95w;2017-05-30-09-01-25;1;15;1,09750102194;False;left;1,9;0,15;-1;neither;1,04600000381
SGP95w;2017-05-30-09-01-25;1;16;1,0194609381;True;neither;1,5;-0,15;-1;neither;0,958000183105
SGP95w;2017-05-30-09-01-25;1;17;1,13904572495;False;right;1,7;0,15;1;right;2,21799993515
SGP95w;2017-05-30-09-01-25;1;18;0,835720109957;True;neither;1,1;0,0;1;neither;0,769000053406
SGP95w;2017-05-30-09-01-25;1;19;1,06760320735;False;both;1,3;0,0;-1;both;0,692000150681
SGP95w;2017-05-30-09-01-25;1;20;1,11575370883;True;neither;1,9;0,15;-1;neither;1,01699995995
SGP95w;2017-05-30-09-01-25;1;21;1,13978629071;False;left;1,5;0,0;-1;left;0,598999977112
SGP95w;2017-05-30-09-01-25;1;22;0,867435413911;True;right;1,3;0,15;1;right;0,530999898911
SGP95w;2017-05-30-09-01-25;1;23;1,16991853483;False;right;1,9;0,15;1;right;0,430999994278
SGP95w;2017-05-30-09-01-25;1;24;1,07048233351;True;neither;1,5;0,15;-1;left;1,03100013733
SGP95w;2017-05-30-09-01-25;1;25;1,10824469765;False;right;1,5;0,15;-1;neither;0,716000080109
SGP95w;2017-05-30-09-01-25;1;26;0,98633599787;True;left;1,1;-0,15;1;left;1,70499992371
SGP95w;2017-05-30-09-01-25;1;27;0,920753691658;False;right;1,5;0,0;1;right;0,532999992371
SGP95w;2017-05-30-09-01-25;1;28;1,18871488175;True;left;1,9;0,0;1;left;0,501000165939
SGP95w;2017-05-30-09-01-25;1;29;0,984736035315;False;neither;1,3;-0,15;1;neither;0,593000173569
SGP95w;2017-05-30-09-01-25;1;30;1,15646101559;True;left;1,7;0,0;1;neither;0,823000192642
SGP95w;2017-05-30-09-01-25;1;31;0,903521106301;False;right;1,7;-0,15;-1;right;3,46099996567
SGP95w;2017-05-30-09-01-25;1;32;1,07983932923;True;right;1,3;-0,15;1;neither;0,795000076294
SGP95w;2017-05-30-09-01-25;1;33;0,928633303972;False;right;1,9;0,15;-1;neither;1,2539999485
